"V1","V2"
"E8.5_CPC_p2_324",-12.9431757027782,-8.85684316476477
"E8.5_CPC_p2_219",50.9119081009188,4.54332451756816
"E8.5_CPC_p2_023",30.971663922501,19.5799601497071
"E8.5_CPC_p2_011",-14.1615982999562,-12.1096605352532
"E8.5_CPC_p2_295",7.28767018472937,-12.8302623315197
"E8.5_CPC_p2_169",3.23797619783599,-18.5827250095157
"E8.5_CPC_p2_155",-15.1796503353154,-22.9544423922498
"E8.5_CPC_p2_030",-29.5956453157506,19.1247209841038
"E8.5_CPC_p2_371",36.9345250313942,13.7703269575674
"E8.5_CPC_p2_044",48.5615687451283,7.63497481497744
"E8.5_CPC_p2_185",33.2205257856358,1.83219064093105
"E8.5_CPC_p2_067",27.5395498641256,28.3616113303107
"E8.5_CPC_p2_218",-18.0959447900758,-2.30529686377531
"E8.5_CPC_p2_278",-13.0832287365501,-21.6032630177797
"E8.5_CPC_p2_043",-6.02917366505104,-13.0150136540832
"E8.5_CPC_p2_063",41.6788377816173,-2.26242238489274
"E8.5_CPC_p2_241",19.7499246028057,19.9131367757803
"E8.5_CPC_p2_211",43.1584821665984,3.01722087431263
"E8.5_CPC_p2_176",30.9823604801688,15.1950456798431
"E8.5_CPC_p2_204",-17.5689521842394,-23.4444955700095
"E8.5_CPC_p2_375",33.8148234976241,23.2016345072537
"E8.5_CPC_p2_054",-19.092180860203,-24.4652495397854
"E8.5_CPC_p2_058",35.717446725588,13.6281764844813
"E8.5_CPC_p2_170",-24.3189471815388,-5.59714516785351
"E8.5_CPC_p2_168",47.0428381959732,16.7728094100948
"E8.5_CPC_p2_310",46.1132743212604,3.01586754357828
"E8.5_CPC_p2_358",40.4631423902827,-2.82919732074362
"E8.5_CPC_p2_339",34.70262663677,14.346031555331
"E8.5_CPC_p2_327",45.7052976654818,15.997448463845
"E8.5_CPC_p2_214",35.8319005493692,9.06765660627187
"E8.5_CPC_p2_282",-20.1193408723673,-2.76735129587144
"E8.5_CPC_p2_380",35.556957030451,22.740853085982
"E8.5_CPC_p2_302",40.300138014694,5.22800936727276
"E8.5_CPC_p2_275",35.2947094306038,7.91135591320588
"E8.5_CPC_p2_240",16.4781905846118,37.9480377314548
"E8.5_CPC_p2_236",-19.3875261574645,-3.95840882515838
"E8.5_CPC_p2_340",-6.24603559558833,-11.9378341109104
"E8.5_CPC_p2_055",-12.0860177645916,-19.611688763166
"E8.5_CPC_p2_047",-11.2275134238953,-14.6637103865266
"E8.5_CPC_p2_148",-11.1289437406476,-25.4525538554252
"E8.5_CPC_p2_092",33.0476856574902,16.0531109356885
"E8.5_CPC_p2_362",-25.6814895219571,-9.40254396272153
"E8.5_CPC_p2_181",-14.8074148717999,-24.0544718611904
"E8.5_CPC_p2_142",-16.1719309743217,-30.8663903568037
"E8.5_CPC_p2_177",-10.3534081303602,-20.9241132425386
"E8.5_CPC_p2_159",-40.110952374447,15.6674285027939
"E8.5_CPC_p2_363",48.1125458343244,14.5948145841911
"E8.5_CPC_p2_064",-12.6322018691423,-14.8843731396535
"E8.5_CPC_p2_102",-24.6901565252316,-2.09740130111762
"E8.5_CPC_p2_109",38.8015248037654,-0.898703890391209
"E8.5_CPC_p2_026",-33.4993120702563,13.5313937894724
"E8.5_CPC_p2_086",-25.8870674218845,5.51637784079065
"E8.5_CPC_p2_186",41.5196801304847,3.00854818971267
"E8.5_CPC_p2_139",38.9056295103757,2.38271064762938
"E8.5_CPC_p2_326",-16.7143846932446,-4.49102441679607
"E8.5_CPC_p2_228",41.2998001642712,-5.95893938400618
"E8.5_CPC_p2_133",-24.0402659286061,-22.1952572148176
"E8.5_CPC_p2_376",-5.9332393393094,-22.6603197627691
"E8.5_CPC_p2_239",-21.5038251859938,-4.25059897275258
"E8.5_CPC_p2_338",-23.4127622097902,-6.77640041410307
"E8.5_CPC_p2_294",-26.8480682082899,9.31199398698636
"E8.5_CPC_p2_307",36.4461178482475,13.531300529782
"E8.5_CPC_p2_252",35.3981155752709,11.9325065879814
"E8.5_CPC_p2_131",-10.3556602443707,-10.150888013612
"E8.5_CPC_p2_085",-19.2830705564478,-20.663155434806
"E8.5_CPC_p2_195",-16.4137397694589,-22.09452274911
"E8.5_CPC_p2_103",-19.593334999208,-8.0071411082012
"E9.5_CPC_p2_160",-1.25668528972893,44.4888662116677
"E9.5_CPC_p2_191",-0.0416415637872779,47.1919556550846
"E9.5_CPC_p2_340",-41.5224856434894,-8.35297679876634
"E9.5_CPC_p2_015",19.4977916070857,20.4836581094927
"E9.5_CPC_p2_311",-0.331861484986504,44.0907624363966
"E9.5_CPC_p2_156",28.169296373303,27.4081208848547
"E9.5_CPC_p2_223",32.3361802500216,24.1897321589513
"E9.5_CPC_p2_076",-40.1482121673482,-5.60610603772935
"E9.5_CPC_p2_363",-38.1820387117368,19.1439386922261
"E9.5_CPC_p2_292",6.0941841808562,-17.2952697011823
"E9.5_CPC_p2_201",-10.570846875945,-39.3393582832476
"E9.5_CPC_p2_319",25.30529984341,18.3504519041966
"E9.5_CPC_p2_261",12.4469781298107,14.9384785691127
"E9.5_CPC_p2_141",-36.0122706796944,15.4458508553664
